bid,tid,currency,hoNet,spNet,bookingStatus,experienceName,supplierName,creationDate,experienceDate
BK001,TID-001,USD,100.00,95.00,CONFIRMED,City Tour,TourCo,2025-01-10,2025-01-15
BK002,TID-001,EUR,150.00,150.00,CONFIRMED,City Tour,TourCo,2025-01-10,2025-01-15
BK003,TID-002,USD,200.00,0.00,CONFIRMED,Museum Pass,MuseumInc,2025-01-11,2025-01-18
BK004,TID-002,GBP,75.00,80.00,CANCELLED,Museum Pass,MuseumInc,2025-01-11,2025-01-18
BK005,TID-003,USD,300.00,290.00,CONFIRMED,Theme Park,FunPark,2025-01-12,2025-01-20
BK006,TID-003,USD,125.00,125.00,CONFIRMED,Theme Park,FunPark,2025-01-12,2025-01-20
BK007,TID-004,EUR,50.00,45.00,CONFIRMED,Walking Tour,WalkGuide,2025-01-13,2025-01-22
BK008,TID-004,USD,180.00,0.00,PENDING,Walking Tour,WalkGuide,2025-01-13,2025-01-22
BK009,TID-005,USD,220.00,215.00,CONFIRMED,Food Tour,FoodieInc,2025-01-14,2025-01-25
BK010,TID-005,GBP,90.00,100.00,CONFIRMED,Food Tour,FoodieInc,2025-01-14,2025-01-25
BK011,TID-006,USD,175.00,175.00,CONFIRMED,Harbor Cruise,SeaViews,2025-01-15,2025-01-28
BK012,TID-006,EUR,85.00,80.00,CONFIRMED,Harbor Cruise,SeaViews,2025-01-15,2025-01-28
BK013,TID-007,USD,450.00,0.00,CONFIRMED,Safari Adventure,WildLife,2025-01-16,2025-02-01
BK014,TID-007,USD,320.00,310.00,CONFIRMED,Safari Adventure,WildLife,2025-01-16,2025-02-01
BK015,TID-008,GBP,65.00,65.00,CONFIRMED,Ghost Tour,SpookyWalks,2025-01-17,2025-02-05
